geoid,2018, total_count, total_count (/10K pop), total_Case fatality rate, total_deaths, total_deaths (/10K pop)
06003,0,149,1300.17,0.0,0,0.0
06005,0,897,237.12,0.0,0,0.0
06007,2,4933,217.24,0.95,47,2.07
06009,0,1659,366.75,0.0,0,0.0
06011,3,799,372.25,0.0,0,0.0
06013,2,132187,1166.44,2.57,3392,29.93
06015,3,2199,801.85,0.0,0,0.0
06017,2,7776,416.58,0.0,0,0.0
06019,3,158259,1617.98,1.7,2696,27.56
06021,3,2182,782.16,0.0,0,0.0
06023,2,7945,585.19,2.03,161,11.86
06025,3,186801,10365.39,1.37,2563,142.22
06027,0,1951,1078.79,3.74,73,40.36
06029,3,185683,2102.74,1.51,2808,31.8
06031,3,79978,5329.2,0.72,572,38.11
06033,0,1882,293.38,0.05,1,0.16
06035,0,2288,733.69,0.0,0,0.0
06037,2,4274319,4232.82,4.01,171598,169.93
06039,3,13748,886.89,1.88,258,16.64
06041,2,56787,2181.64,2.35,1333,51.21
06043,0,1130,644.24,4.51,51,29.08
06045,3,2599,297.29,0.0,0,0.0
06047,3,29145,1083.16,1.77,515,19.14
06049,0,2,2.24,0.0,0,0.0
06051,2,3024,2133.48,3.17,96,67.73
06053,3,52435,1210.38,1.41,739,17.06
06055,2,11635,827.94,2.25,262,18.64
06057,0,5010,505.59,1.86,93,9.39
06059,2,527186,1666.11,2.32,12247,38.71
06061,2,25400,668.29,3.14,798,21.0
06063,0,412,220.33,0.0,0,0.0
06065,3,682129,2862.14,3.47,23647,99.22
06067,2,137497,910.56,3.47,4765,31.56
06069,3,8656,1456.85,2.35,203,34.17
06071,3,441818,2069.0,3.15,13904,65.11
06073,2,610778,1849.25,3.36,20529,62.16
06075,2,202752,2330.36,1.57,3190,36.66
06077,2,108214,1477.91,2.83,3058,41.76
06079,2,25882,919.58,0.37,96,3.41
06081,2,169358,2211.13,3.74,6336,82.72
06083,2,128168,2888.37,0.9,1154,26.01
06085,2,253753,1320.12,4.6,11667,60.7
06087,2,18232,665.97,1.26,229,8.36
06089,2,4358,243.35,8.63,376,21.0
06091,0,44,150.17,0.0,0,0.0
06095,2,47279,1078.12,2.74,1296,29.55
06097,2,47092,939.37,0.76,360,7.18
06099,3,75567,1401.2,2.69,2032,37.68
06101,2,5641,588.39,3.63,205,21.38
06103,3,1217,192.04,5.75,70,11.05
06105,0,140,108.85,0.0,0,0.0
06107,3,155505,3377.04,3.92,6091,132.28
06109,0,656,121.63,0.0,0,0.0
06111,2,102789,1211.97,2.46,2531,29.84
06115,2,2896,383.61,3.18,92,12.19
08001,2,232936,4685.76,3.82,8900,179.03
08003,3,6239,3794.09,3.25,203,123.45
08005,2,319066,5011.47,6.39,20402,320.45
08007,0,710,550.05,0.0,0,0.0
08009,0,1082,3036.77,0.0,0,0.0
08011,0,143,246.17,0.0,0,0.0
08013,2,76262,2375.54,6.01,4581,142.7
08014,2,18438,2788.57,9.21,1698,256.81
08015,0,6015,3138.7,23.01,1384,722.19
08017,3,286,1402.65,0.0,0,0.0
08019,0,1418,1511.89,5.29,75,79.97
08021,3,313,384.43,0.0,0,0.0
08023,3,709,1922.97,0.0,0,0.0
08025,0,3534,6277.09,3.06,108,191.83
08027,0,187,403.02,0.0,0,0.0
08029,0,4943,1628.88,1.78,88,29.0
08031,2,413585,5964.45,5.37,22197,320.11
08033,0,0,0.0,0.0,0,0.0
08035,2,58708,1786.53,5.4,3169,96.44
08037,2,54731,10068.8,1.29,707,130.07
08039,1,3769,1497.89,3.87,146,58.02
08041,2,132003,1918.22,5.83,7695,111.82
08043,0,2114,449.77,0.0,0,0.0
08045,2,12950,2212.24,1.42,184,31.43
08047,0,292,492.91,0.0,0,0.0
08049,0,939,623.26,0.64,6,3.98
08051,2,15784,9544.66,3.02,476,287.84
08053,0,272,3097.95,0.0,0,0.0
08055,0,247,375.21,1.62,4,6.08
08057,0,15,115.74,0.0,0,0.0
08059,2,168620,2956.03,6.85,11547,202.43
08061,1,0,0.0,0.0,0,0.0
08063,1,2175,2848.72,9.43,205,268.5
08065,2,2455,3236.65,0.0,0,0.0
08067,2,6722,1219.94,0.85,57,10.34
08069,2,45060,1332.5,4.41,1985,58.7
08071,0,424,299.03,0.0,0,0.0
08073,0,278,501.08,0.0,0,0.0
08075,1,37625,17347.5,0.68,256,118.03
08077,2,5257,350.47,0.0,0,0.0
08079,0,240,2916.16,0.0,0,0.0
08081,1,649,496.94,0.0,0,0.0
08083,0,3324,1282.95,7.07,235,90.7
08085,1,12765,3093.2,7.32,934,226.33
08087,3,42601,15076.26,6.14,2616,925.79
08089,3,1307,713.23,5.51,72,39.29
08091,0,629,1332.06,13.83,87,184.24
08093,0,1599,919.39,0.0,0,0.0
08095,1,926,2144.51,0.0,0,0.0
08097,2,6181,3451.34,3.22,199,111.12
08099,3,883,732.66,0.0,0,0.0
08101,3,20887,1268.3,6.51,1359,82.52
08103,1,127,196.44,0.0,0,0.0
08105,3,2529,2228.0,1.07,27,23.79
08107,2,5435,2185.01,8.04,437,175.69
08109,0,4017,6210.58,1.64,66,102.04
08111,0,67,1231.62,0.0,0,0.0
08113,2,2058,2582.83,0.0,0,0.0
08115,0,0,0.0,0.0,0,0.0
08117,2,16785,5516.12,1.05,176,57.84
08119,0,2857,1184.84,6.65,190,78.8
08121,1,2135,4411.16,0.0,0,0.0
08123,2,190198,6444.7,5.25,9984,338.3
08125,3,2203,2187.9,0.0,0,0.0
09001,2,1201265,12720.58,7.62,91534,969.28
09003,2,724700,8099.65,11.71,84896,948.84
09005,1,103546,5657.29,8.96,9276,506.8
09007,2,81153,4967.5,13.04,10585,647.92
09009,2,837209,9742.48,7.93,66379,772.44
09011,2,75689,2814.96,7.58,5735,213.29
09013,2,58116,3841.9,7.54,4382,289.68
09015,1,29528,2533.77,2.85,843,72.34
10001,2,100296,5737.04,4.54,4550,260.26
10003,2,269120,4847.85,4.3,11561,208.26
10005,0,286488,13049.47,3.22,9231,420.47
11001,2,622444,9093.44,5.08,31644,462.29
12001,2,41039,1559.54,1.34,549,20.86
12003,1,2786,1002.7,10.3,287,103.29
12005,2,11777,645.38,2.34,275,15.07
12007,4,4580,1697.62,3.56,163,60.42
12009,2,48870,847.25,1.99,974,16.89
12011,2,673353,3526.98,3.51,23665,123.96
12013,0,3656,2531.15,5.96,218,150.93
12015,0,35437,2002.61,11.39,4035,228.03
12017,0,12297,859.41,7.99,982,68.63
12019,2,33346,1608.66,6.44,2146,103.53
12021,2,144522,3971.24,2.43,3505,96.31
12023,4,11809,1708.85,1.3,154,22.28
12027,3,17420,4785.85,3.44,600,164.84
