geoid,total_cases,total_deaths
19035,2363,3
19037,917,0
19039,3980,46
19041,3105,0
19043,2256,195
19045,5387,70
19047,30723,130
19049,61431,1236
19051,1526,27
19053,224,0
19055,1456,44
19057,4064,102
19059,5654,34
19061,23906,1107
19063,1816,0
19065,2012,0
19067,1539,66
19069,2032,0
19071,242,0
19073,1178,0
19075,1514,0
19077,3272,171
19079,5082,6
19081,1453,0
19083,2059,0
19085,2330,0
19087,4803,142
19089,987,0
19091,1509,34
19093,803,0
19095,2508,0
19097,981,0
19099,18441,906
19101,2049,0
19103,53289,573
19105,2886,0
19107,937,19
19109,948,0
19111,2025,30
19113,73882,5383
19115,25806,593
19117,966,95
19119,1772,0
19121,1739,121
19123,5175,607
19125,2346,0
19127,60851,829
19129,1278,0
19131,580,0
19133,2390,0
19135,2157,251
19137,490,62
19139,40123,2469
19141,2962,26
19143,2439,0
19145,1017,0
19147,695,0
19149,10219,133
19151,1554,15
19153,280341,8301
19155,23069,492
19157,6403,518
19159,361,0
19161,1681,0
19163,29624,667
19165,3254,0
19167,17117,0
19169,15944,114
19171,29631,1626
19173,2921,0
19175,627,0
19177,921,0
19179,33479,908
19181,9639,44
19183,15341,659
19185,201,0
19187,4461,58
19189,789,0
19191,1749,0
19193,170323,1895
19195,334,0
19197,11882,3
20001,54,0
20003,101,0
20005,1512,0
20007,91,0
20009,2765,90
20011,804,89
20013,426,0
20015,2681,0
20017,237,0
20019,349,0
20021,1093,0
20023,133,0
20025,1776,0
20027,424,87
20029,491,0
20031,4530,638
20033,81,0
20035,1676,87
20037,4656,97
20041,318,0
20043,1080,0
20045,6859,0
20047,343,0
20049,9,0
20051,932,0
20053,149,0
20055,88723,514
20057,109326,388
20059,3100,4
20061,1938,33
20063,102,0
20067,1355,31
20069,1236,0
20073,504,0
20075,1326,0
20077,109,0
20079,1265,97
20081,1292,0
20083,258,0
20085,4812,39
20087,1489,0
20089,342,0
20091,73903,4955
20093,2746,47
20097,173,0
20099,2364,0
20101,174,0
20103,70126,489
20105,2,0
20107,849,0
20109,11,0
20111,29002,301
20113,2865,0
20115,599,69
20117,13,0
20119,1682,0
20121,862,0
20123,323,0
20125,1833,200
20127,369,0
20129,374,14
20131,897,0
20133,579,0
20135,146,0
20137,163,0
20139,666,0
20141,185,0
20143,369,0
20145,93,0
20147,163,0
20149,2408,0
20151,241,0
