geoid,2018, total_count, total_count (/10K pop), total_tested, total_Confirmed (%), race_White_count, race_White_tested, race_White_Confirmed (%), race_Black_count, race_Black_tested, race_Black_Confirmed (%), race_Asian_count, race_Asian_tested, race_Asian_Confirmed (%), race_Hispanic_count, race_Hispanic_tested, race_Hispanic_Confirmed (%), race_NH/PI*_count, race_NH/PI*_tested, race_NH/PI*_Confirmed (%), race_AI/AN**_count, race_AI/AN**_tested, race_AI/AN**_Confirmed (%), race_unkown_count, race_unkown_tested, race_unkown_Confirmed (%), race_other_count, race_other_tested, race_other_Confirmed (%), age_Unknown_count, age_Unknown_tested, age_Unknown_Confirmed (%), age_<20_count, age_<20_tested, age_<20_Confirmed (%), age_20-29_count, age_20-29_tested, age_20-29_Confirmed (%), age_30-39_count, age_30-39_tested, age_30-39_Confirmed (%), age_40-49_count, age_40-49_tested, age_40-49_Confirmed (%), age_50-59_count, age_50-59_tested, age_50-59_Confirmed (%), age_60-69_count, age_60-69_tested, age_60-69_Confirmed (%), age_70-79_count, age_70-79_tested, age_70-79_Confirmed (%), age_80+_count, age_80+_tested, age_80+_Confirmed (%), gender_male_count, gender_male_tested, gender_male_Confirmed (%), gender_female_count, gender_female_tested, gender_female_Confirmed (%), gender_unkown_count, gender_unkown_tested, gender_unkown_Confirmed (%)
60426,0,536,185.31,4989,10.74,10,183,5.46,243,2000,12.15,0,9,0.0,95,268,35.45,0,0,0.0,0,17,0.0,172,2410,7.14,13,101,12.87,0,0,0.0,47,386,12.18,87,741,11.74,100,694,14.41,93,755,12.32,92,930,9.89,60,822,7.3,41,450,9.11,16,207,7.73,270,2320,11.64,261,2562,10.19,0,107,0.0
60428,0,247,201.29,2176,11.35,0,71,0.0,127,720,17.64,0,0,0.0,23,61,37.7,0,0,0.0,0,0,0.0,86,1296,6.64,6,22,27.27,0,0,0.0,24,172,13.95,34,298,11.41,44,294,14.97,42,337,12.46,38,375,10.13,35,393,8.91,17,201,8.46,13,104,12.5,101,895,11.28,145,1236,11.73,0,45,0.0
60429,0,251,163.12,3124,8.03,19,188,10.11,165,1064,15.51,0,0,0.0,0,14,0.0,0,0,0.0,0,0,0.0,60,1831,3.28,0,22,0.0,0,0,0.0,17,185,9.19,32,335,9.55,36,373,9.65,39,407,9.58,50,535,9.35,33,631,5.23,20,403,4.96,24,254,9.45,105,1278,8.22,144,1813,7.94,0,33,0.0
60430,2,302,149.31,3209,9.41,50,646,7.74,146,754,19.36,0,18,0.0,12,35,34.29,0,0,0.0,0,8,0.0,84,1690,4.97,6,57,10.53,0,0,0.0,10,195,5.13,29,320,9.06,41,353,11.61,36,415,8.67,51,568,8.98,36,635,5.67,48,432,11.11,51,287,17.77,128,1336,9.58,170,1812,9.38,0,61,0.0
60431,2,256,110.25,3614,7.08,54,1368,3.95,40,264,15.15,7,33,21.21,71,255,27.84,0,7,0.0,0,0,0.0,78,1532,5.09,6,155,3.87,0,0,0.0,21,276,7.61,36,532,6.77,67,660,10.15,56,597,9.38,41,542,7.56,23,435,5.29,8,317,2.52,0,250,0.0,108,1453,7.43,148,2101,7.04,0,60,0.0
60432,3,497,245.77,3043,16.33,31,396,7.83,48,403,11.91,0,0,0.0,247,588,42.01,0,0,0.0,0,0,0.0,143,1379,10.37,27,275,9.82,0,0,0.0,60,326,18.4,103,588,17.52,87,516,16.86,102,526,19.39,83,481,17.26,35,352,9.94,12,161,7.45,15,91,16.48,244,1330,18.35,243,1624,14.96,10,89,11.24
60433,0,345,207.47,3171,10.88,45,720,6.25,86,449,19.15,0,11,0.0,108,302,35.76,0,0,0.0,0,0,0.0,96,1526,6.29,10,162,6.17,0,0,0.0,31,204,15.2,55,441,12.47,58,443,13.09,55,376,14.63,51,459,11.11,37,412,8.98,22,326,6.75,36,510,7.06,157,1186,13.24,186,1883,9.88,0,102,0.0
60435,3,763,153.02,8205,9.3,194,2688,7.22,114,886,12.87,9,50,18.0,218,869,25.09,0,0,0.0,0,0,0.0,214,3293,6.5,13,414,3.14,0,0,0.0,45,479,9.39,111,1128,9.84,138,1202,11.48,112,1162,9.64,116,1388,8.36,85,1184,7.18,73,808,9.03,83,849,9.78,362,3491,10.37,397,4575,8.68,0,139,0.0
60436,3,274,144.63,2887,9.49,29,792,3.66,59,509,11.59,0,14,0.0,99,331,29.91,0,0,0.0,0,0,0.0,77,1070,7.2,9,169,5.33,0,0,0.0,33,208,15.87,44,451,9.76,53,458,11.57,61,491,12.42,37,509,7.27,24,433,5.54,16,232,6.9,6,105,5.71,140,1178,11.88,131,1664,7.87,0,45,0.0
60437,1,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
60438,0,453,156.42,4204,10.78,59,609,9.69,157,987,15.91,0,12,0.0,48,161,29.81,0,0,0.0,0,0,0.0,174,2336,7.45,13,96,13.54,0,0,0.0,25,258,9.69,64,577,11.09,74,577,12.82,81,726,11.16,91,806,11.29,63,642,9.81,28,394,7.11,27,221,12.22,190,1708,11.12,261,2420,10.79,0,76,0.0
60439,2,136,58.07,2600,5.23,73,1191,6.13,0,43,0.0,0,24,0.0,6,56,10.71,0,0,0.0,0,0,0.0,48,1209,3.97,8,75,10.67,0,0,0.0,6,159,3.77,20,307,6.51,17,283,6.01,26,312,8.33,19,446,4.26,13,395,3.29,13,301,4.32,22,396,5.56,56,1051,5.33,79,1511,5.23,0,38,0.0
60440,3,945,180.88,9304,10.16,132,1711,7.71,139,1032,13.47,42,315,13.33,329,1236,26.62,0,6,0.0,0,0,0.0,260,4658,5.58,41,341,12.02,0,14,0.0,82,620,13.23,147,1442,10.19,145,1513,9.58,170,1362,12.48,138,1553,8.89,94,1273,7.38,76,968,7.85,93,559,16.64,440,3870,11.37,502,5220,9.62,0,214,0.0
60441,2,243,68.61,3034,8.01,90,1101,8.17,21,83,25.3,0,11,0.0,34,101,33.66,0,0,0.0,0,0,0.0,91,1628,5.59,0,104,0.0,0,0,0.0,12,190,6.32,39,444,8.78,54,534,10.11,43,493,8.72,43,539,7.98,29,441,6.58,15,259,5.79,8,130,6.15,119,1310,9.08,122,1679,7.27,0,45,0.0
60442,2,51,48.43,794,6.42,30,341,8.8,0,6,0.0,0,0,0.0,0,16,0.0,0,0,0.0,0,0,0.0,15,410,3.66,0,18,0.0,0,0,0.0,0,73,0.0,12,116,10.34,8,162,4.94,10,141,7.09,7,142,4.93,10,106,9.43,0,46,0.0,0,8,0.0,26,346,7.51,25,442,5.66,0,6,0.0
60443,0,415,192.54,3855,10.77,20,305,6.56,244,1404,17.38,0,19,0.0,12,35,34.29,0,0,0.0,0,0,0.0,130,2048,6.35,0,41,0.0,0,0,0.0,32,213,15.02,59,398,14.82,64,469,13.65,76,594,12.79,64,743,8.61,55,707,7.78,28,487,5.75,36,244,14.75,171,1434,11.92,218,2161,10.09,26,260,10.0
